Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-10-12 18:59:39.484 +0000,"Failure",0:00:00,1,0,0,"20211012_185939.484/LogFile.txt","","STInvalidNumber -- Value is not a number: 'total'",0
2021-10-12 18:59:54.640 +0000,"Failure",0:00:00,1,0,0,"20211012_185954.640/LogFile.txt","","STInvalidNumber -- Value is not a number: 'total'",0
2021-10-12 19:00:57.206 +0000,"Failure",0:00:00,1,0,0,"20211012_190057.206/LogFile.txt","","STInvalidNumber -- Value is not a number: 'total'",0
2021-10-12 19:06:43.590 +0000,"Success",0:00:07,0,0,0,"20211012_190643.590/LogFile.txt","","",1
2021-10-12 19:11:10.720 +0000,"Failure",0:00:04,1,0,0,"20211012_191110.720/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'division'",0
2021-10-12 19:11:32.337 +0000,"Aborted",0:00:06,1,0,0,"20211012_191132.337/LogFile.txt","","",0
2021-10-12 19:16:13.402 +0000,"Success",0:00:00,0,0,0,"20211012_191613.402/LogFile.txt","","",1
2021-10-12 19:17:32.316 +0000,"Success",0:00:00,0,0,0,"20211012_191732.316/LogFile.txt","","",1
2021-10-12 19:17:54.858 +0000,"Aborted",0:00:49,1,0,0,"20211012_191754.858/LogFile.txt","","",0
2021-10-12 19:18:51.756 +0000,"Failure",0:00:04,1,0,0,"20211012_191851.756/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands for addition: expected numbers, dates and/or lists; got 'result' and '20'",0
2021-10-12 19:19:30.871 +0000,"Success",0:00:11,0,0,0,"20211012_191930.871/LogFile.txt","","",1
2021-10-12 20:29:40.649 +0000,"Success",0:00:03,0,0,0,"20211012_202940.649/LogFile.txt","","",1
2021-10-12 21:50:33.758 +0000,"Success",0:01:14,0,1,0,"20211012_215033.758/LogFile.txt","","",1
2021-10-13 19:47:23.065 +0000,"Failure",0:00:00,1,0,0,"20211013_194723.065/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'exercise5a'",0
2021-10-13 19:47:32.032 +0000,"Failure",0:00:35,1,0,1,"20211013_194732.032/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""SQUARES""",0
2021-10-13 19:48:20.217 +0000,"Success",0:00:23,0,0,0,"20211013_194820.217/LogFile.txt","","",1
