Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
BuilInFunctions,Success,10,1,2021-10-14 19:36:34 +0000,2021-10-14 20:00:50 +0000,0:00:00
MasterScript,Success,22,3,2021-10-13 14:58:35 +0000,2021-10-13 16:21:38 +0000,0:00:00
Problems,Success,34,8,2021-10-15 14:55:07 +0000,2021-10-15 16:21:40 +0000,0:00:01
OnePieceTurboSession,Success,2,1,2021-10-13 21:46:38 +0000,2021-10-13 21:47:57 +0000,0:00:18
