Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-10-18 14:38:21.453 +0000,"Failure",0:00:00,1,0,0,"20211018_143821.453/LogFile.txt","","SenseTalk Compiler Exception -- in exercise3failedscript:\nSyntax Error at line 2: Syntax Error - can't understand ""int"" at character 15",0
2021-10-18 14:45:32.245 +0000,"Failure",0:00:00,1,0,0,"20211018_144532.245/LogFile.txt","","SenseTalk Compiler Exception -- in exercise3failedscript:\nSyntax Error at line 2: Syntax Error - can't understand ""int"" at character 15",0
